,qus,ans
11982,Who is the author of The Task?,William Cowper
11983,Who is the author of Plutus?,Aristophanes
11984,Who is the author of Midnight's Children?,Salman Rushdie
11985,Who is the author of Consent to Kill?,Vince Flynn
11986,Who is the author of The Fabulous Furry Freak Brothers?,Gilbert Shelton
11987,Who is the author of The Bat?,Mary Roberts Rinehart
11988,Who is the author of Hair?,Gerome Ragni
11989,Who is the author of Saints of Big Harbour?,Lynn Coady
11990,Who is the author of Solar?,Ian McEwan
11991,Who is the author of Endpeace?,Jon Cleary
11992,Who is the author of On Intelligence?,Jeff Hawkins
11993,Who is the author of Pan?,Knut Hamsun
11994,Who is the author of Turning On?,Damon Knight
11995,Who is the author of Hard Time?,Mary Skrenes
11996,Who is the author of The Hope?,Herman Wouk
11997,Who is the author of Something More?,Paul Cornell
11998,Who is the author of The Hermaphrodite?,Julia Ward Howe
11999,Who is the author of The Cry?,Jane Collier
12000,Who is the author of Silver?,Andrew Motion
12001,Who is the author of Facebook?,Chris Hughes
12002,Who is the author of Being Digital?,Nicholas Negroponte
12003,Who is the author of The Fall?,Chuck Hogan
12004,Who is the author of The Edge of Tomorrow?,Isaac Asimov
12005,Who is the author of Dolores Claiborne?,Stephen King
12006,Who is the author of The Village?,Kate Wilhelm
12007,Who is the author of Shadow?,Bob Woodward
12008,Who is the author of The Vows of Silence?,Susan Hill
12009,Who is the author of The Book Thief?,Markus Zusak
12010,Who is the author of Moneyball?,Michael Lewis
12011,Who is the author of The Romantic?,Barbara Gowdy
12012,Who is the author of Once a Hero?,Elizabeth Moon
12013,Who is the author of How It Happened?,Arthur Conan Doyle
12014,Who is the author of Dancing After Hours?,Andre Dubus
12015,Who is the author of Click?,Ruth Ozeki
12016,Who is the author of Americana?,Don DeLillo
12017,Who is the author of Where Dead Voices Gather?,Nick Tosches
12018,Who is the author of Cane?,Jean Toomer
12019,Who is the author of Japan?,Buronson
12020,Who is the author of Riceyman Steps?,Arnold Bennett
12021,Who is the author of A New Trick to Cheat the Devil?,Robert Davenport
12022,Who is the author of The Return?,H. Beam Piper
12023,Who is the author of Romance?,Ford Madox Ford
12024,Who is the author of Ruined?,Lynn Nottage
12025,Who is the author of What Happened?,Scott McClellan
12026,Who is the author of The Friendship?,Mildred D. Taylor
12027,Who is the author of Higher Education?,Charles Sheffield
12028,Who is the author of Ur?,Stephen King
12029,Who is the author of Mystery?,Peter Straub
12030,Who is the author of Click?,Deborah Ellis
12031,Who is the author of Instruction of Hardjedef?,Djedefhor
12032,Who is the author of Caleb West?,Francis Hopkinson Smith
12033,Who is the author of The Gift of Rain?,Tan Twan Eng
12034,Who is the author of Company?,Samuel Beckett
12035,Who is the author of Ente Katha?,Kamala Surayya
12036,Who is the author of Persa?,Plautus
12037,Who is the author of Buried Thunder?,Tim Bowler
12038,Who is the author of Being Different?,Rajiv Malhotra
12039,Who is the author of The Kraken Wakes?,John Wyndham
12040,Who is the author of Stay?,Nicola Griffith
12041,Who is the author of Time Enough?,Damon Knight
12042,Who is the author of Lost?,Gregory Maguire
12043,Who is the author of Now I Know?,Aidan Chambers
12044,Who is the author of Evil Under the Sun?,Agatha Christie
12045,Who is the author of The Executioner's Song?,Norman Mailer
12046,Who is the author of Operator?,David Williamson
12047,Who is the author of Simon?,Rosemary Sutcliff
12048,Who is the author of Lest We Remember?,Isaac Asimov
12049,Who is the author of representational state transfer?,Roy Fielding
12050,Who is the author of Sail?,James Patterson
12051,Who is the author of The Prodigal Son?,Peter Wessel Zapffe
12052,Who is the author of That Face?,Polly Stenham
12053,Who is the author of Free to Choose?,Milton Friedman
12054,Who is the author of Great Expectations?,Charles Dickens
12055,Who is the author of The Fix?,Damian Thompson
12056,Who is the author of Versed?,Rae Armantrout
12057,Who is the author of Fire?,Alan Rodgers
12058,Who is the author of Haunted?,Kelley Armstrong
12059,Who is the author of Glue?,Irvine Welsh
12060,Who is the author of Carnival of Souls?,Melissa Marr
12061,Who is the author of Mannfolk?,Arne Garborg
12062,Who is the author of Quad?,Samuel Beckett
12063,Who is the author of Tribute?,Bernard Slade
12064,Who is the author of The American?,Henry James
12065,Who is the author of Countdown to Final Crisis?,Adam Beechen
12066,Who is the author of Nature?,Ralph Waldo Emerson
12067,Who is the author of Passion Play?,Peter Nichols
12068,Who is the author of Need?,Carrie Jones
12069,Who is the author of The Little Prince?,Antoine de Saint-Exupéry
12070,Who is the author of Places I Never Meant to Be?,Judy Blume
12071,Who is the author of Yny lhyvyr hwnn?,John Prise
12072,Who is the author of Rage?,Jonathan Kellerman
12073,Who is the author of Emma?,Jane Austen
12074,Who is the author of Helen?,Maria Edgeworth
12075,Who is the author of Time and Again?,Jack Finney
12076,Who is the author of Winning?,Jack Welch
12077,Who is the author of The Bat?,Avery Hopwood
12078,Who is the author of Elements?,Euclid
12079,Who is the author of Impulse?,Steven Gould
12080,Who is the author of First Contact?,Murray Leinster
12081,Who is the author of STORI Telling?,Tori Spelling
12082,Who is the author of Good Value?,"Stephen Green, Baron Green of Hurstpierpoint"
12083,Who is the author of Saint Seiya: Next Dimension?,Masami Kurumada
12084,Who is the author of A Legacy?,Sybille Bedford
12085,Who is the author of Bug?,Tracy Letts
12086,Who is the author of A Bit of Singing and Dancing?,Susan Hill
12087,Who is the author of Trying?,Joanna Glass
12088,Who is the author of Thomas?,Robin Jarvis
12089,Who is the author of Nightmare Abbey?,Thomas Love Peacock
12090,Who is the author of Kid?,Simon Armitage
12091,Who is the author of Jerusalem?,Moses Mendelssohn
12092,Who is the author of It's Not an All Night Fair?,Pramoedya Ananta Toer
12093,Who is the author of Dark Matter?,Joseph Mallozzi
12094,Who is the author of World's End?,Upton Sinclair
12095,Who is the author of Heaven?,Jack Cohen
12096,Who is the author of The Touch?,Colleen McCullough
12097,Who is the author of Getting Even?,Woody Allen
12098,Who is the author of Conan the Valiant?,Roland J. Green
12099,Who is the author of Obsessed?,Ted Dekker
12100,Who is the author of Darkvision?,Bruce Cordell
12101,Who is the author of The Third Round?,H. C. McNeile
12102,Who is the author of The Vivisector?,Patrick White
12103,Who is the author of Regeneration?,H. Rider Haggard
12104,Who is the author of The Latimers?,Henry Christopher McCook
12105,Who is the author of The Flea?,John Donne
12106,Who is the author of Remote?,Shin Kibayashi
12107,Who is the author of The Director?,Henry Denker
12108,Who is the author of Action?,Sam Shepard
12109,Who is the author of Far Away?,Caryl Churchill
12110,Who is the author of Junk?,Melvin Burgess
12111,Who is the author of Saint?,Lino Rulli
12112,Who is the author of The Tenant?,Roland Topor
